Department,Test Name,Story‑telling (Arabic),Story‑telling (English)
Cardiac Biomarkers,CK‑MB (Creatine Kinase‑MB),شبّه هذا التحليل كقلبك الذي يشبه محرّك السيارة، يعمل بلا توقف، وإذا تعرض لضرر، يطلق إشارات تحذيرية. أحد هذه الإشارات هو CK MB، وهي مادة تظهر في الدم عند إصابة عضلة القلب. يُستخدم هذا التحليل لاكتشاف إذا ما كنت قد تعرضت لنوبة قلبية أو أن قلبك تحت ضغط. تخيّلها مثل لمبة التحذير في طبلون سيارتك، إذا ارتفعت CK MB، فهذا يعني أن هناك شيء خطأ يجب التحقق منه فورًا، قبل أن تسوء الأمور.,"Your heart is like the engine of a car, it works nonstop, and when it's damaged, it leaks certain warning signs. One of these is CK‑MB, a substance your body releases when heart muscle is injured. Doctors use this test to see if you've had a heart attack or if your heart is under stress. Think of it like a dashboard light in your car, when CK‑MB levels rise, it's your body's way of flashing a red warning. It helps catch problems early, before things get worse."
Cardiac Biomarkers,High‑Sensitivity Troponin I,قلبك يشبه مضخة المياه في مزرعة ، تعمل باستمرار لضخ المياه في كل الاتجاهات. إذا تضررت هذه المضخة، حتى لو بشق صغير، قد تبدأ بالتسريب. تحليل High‑Sensitivity Troponin I يكشف أدق تسريبات عضلة القلب، حتى قبل ظهور أعراض واضحة. كأنك تلاحظ نقطة ماء صغيرة قبل أن تغرق المزرعة كلها، هذا التحليل يساعدك على التحرك في الوقت المناسب، قبل أن يتفاقم الخطر.,"Your heart is like a water pump in a desert farm—it works hard, day and night, to keep everything flowing. If that pump gets damaged, even a small crack can cause a leak. High‑Sensitivity Troponin I is a test that catches the tiniest leaks from your heart muscle. It helps doctors detect a heart attack early, even before big symptoms appear. Like spotting a tiny water drip before it floods the whole farm, this test helps you act before major harm happens."
Cardiac Biomarkers,LDH (Lactate Dehydrogenase),جسمك يشبه طريقًا سريعًا مزدحمًا، تتحرك فيه السيارات (الخلايا) باستمرار، وقد يحدث أحيانًا تصادم. عندما تتضرر الخلايا، تُطلق إشارات، وأحد هذه الإشارات هو **LDH (Lactate Dehydrogenase)**. هذا التحليل يكشف عن وجود تلك الإشارة، مما يدل على وجود تلف أو التهاب أو مرض داخلي. تخيّله كأنك ترى زجاجًا مكسورًا على الطريق، فتدرك أن هناك حادثًا وقع. ارتفاع **LDH** يساعد الأطباء على معرفة مكان الخلل وما إذا كان جسمك بحاجة إلى تدخل,"Your body is like a busy highway—cars (cells) are constantly moving, working, and sometimes crashing. When cells get damaged, they release certain signals, and **LDH (Lactate Dehydrogenase)** is one of them. This test checks for that signal to tell if something is wrong inside—like injury, inflammation, or disease. Think of it like spotting broken glass on the road; it tells you there was an accident somewhere. High **LDH** levels help doctors know where to look and whether your body needs repair."
Cardiac Biomarkers,Myoglobin,تخيل عضلاتك مثل واحات النخيل التي تحتاج للري المستمر لتظل منتجة. الـ الميوجلوبين يشبه نظام الري المتخصص الذي يوصل الأكسجين مباشرةً لكل نخلة، مما يحافظ على قوتها وحيويتها لتقوم بمهامها اليومية. إذا تعرضت هذه الواحات – وخصوصًا عضلة قلبك – لضرر مفاجئ وشديد، كحادث سير مثلاً، فإن بعض من هذا الماء الحيوي (الميوجلوبين) قد يتسرب خارجها. قياس الميوجلوبين في دمك يساعد الأطباء على اكتشاف سريع لأي ضرر حديث في العضلات، وهو بمثابة مؤشر مبكر مهم للحفاظ على صحة عضلاتك العاملة بجد.,"Imagine your muscles are like busy construction sites, full of workers building and repairing. Myoglobin is like a special oxygen delivery truck that rushes oxygen directly to these muscle workers, keeping them energized for every lift, run, or even just standing up. If these construction sites, especially your heart muscle, get damaged – perhaps from a sudden, intense event like a heart attack – these myoglobin trucks might spill out into your bloodstream. Measuring myoglobin in your blood helps doctors quickly see if there's been recent muscle damage, acting as an early warning sign that something might be wrong with your hardworking muscles."
Cardiac Biomarkers,NT‑proBNP,"تخيل قلبك كمضخة مياه قوية لجسمك. عندما يواجه القلب ضغطًا شديدًا أو يعمل بجهد زائد بسبب حالة مثل ضعف عضلة القلب، فإنه يُفرز هرمونًا في الدم. إن فحص ان تي برو بي ان بي يقيس نتاج هذا الهرمون، وهو يشبه الزبد الذي يظهر عندما تعمل مضخة المياه تحت ضغط عالٍ. المستوى المرتفع من هذا ""الزبد"" يُخبر الأطباء أن مضخة قلبك تعمل بجهد كبير وتحتاج إلى رعاية. يساعد فحص ان تي برو بي ان بي الأطباء في فهم الضغط على قلبك، وبالتالي إدارة صحته بفعالية.","Imagine your heart is a powerful water pump for your body's circulation system. When the heart has to work too hard or is under stress from a condition like heart failure, it releases a hormone into your blood. NT-proBNP is a breakdown product of that hormone, like the foam that appears when a water pump is under pressure. A high level of this foam tells doctors that your heart's pump is being overworked and may need attention. Checking your NT-proBNP levels helps doctors understand the strain on your heart and manage your heart health effectively."
Cardiac Biomarkers,Total CK (Creatine Kinase),فكر في عضلاتك كمحركات سيارات تعمل بجهد. تستخدم هذه المحركات وقودًا خاصًا، وتُنتج مادة تُعرف باسم كرياتين كيناز كناتج عن عملها. يقيس فحص توتال سي كي الكمية الإجمالية من هذه المادة في دمك. وجود كمية قليلة منها طبيعي، مثل الدخان الخفيف الخارج من عادم السيارة. ولكن، إذا تعرضت عضلاتك للضرر – من تمرين شاق أو إصابة – فإنها تُسرب كمية كبيرة من هذا الكرياتين كيناز إلى دمك، تماماً كسيارة بها خلل كبير في محركها. يساعد هذا الفحص الأطباء على اكتشاف أي ضرر أو مرض في العضلات مبكرًا.,"Think of your muscles as hardworking engines. They use a special fuel and produce a waste product called creatine kinase when they are running. The Total CK test measures the total amount of this waste product in your blood. A small amount is normal, like a little exhaust from a car engine. However, if your muscles are damaged—from a tough workout or an injury—they leak a lot of this CK into your bloodstream, like a car with a cracked engine block. This test helps doctors detect muscle damage or disease early on."
Clinical Chemistry – Diabetes & Metabolic Panel,C‑Peptide,تخيل البنكرياس كحارسٍ بواباتٍ لمستوى السكر في جسمك. هو ينتج هرمون الأنسولين، الذي يشبه المفتاح الذي يفتح الأبواب لخلايا جسمك ليدخلها السكر للحصول على الطاقة. عندما ينتج البنكرياس الأنسولين، فإنه يُصنع أيضًا منتجًا ثانويًا اسمه سي-بيبتايد. يُشبه فحص سي-بيبتايد ك كاميرا مراقبة تراقب الحارس. هي لا ترى المفتاح (الأنسولين) مباشرةً، بل تحصي عدد المنتجات الثانوية (سي-بيبتايد) التي يتم إنتاجها. هذا العدد يخبر الأطباء بالضبط كمية الأنسولين التي ينتجها جسمك، وهو أمر بالغ الأهمية لتشخيص السكري وإدارته.,"Imagine your pancreas is a manager for your body’s sugar. It produces insulin, the key that unlocks your cells to let sugar in for energy. When it makes insulin, it also makes a byproduct called C-peptide. The C-Peptide test is like a security camera watching the manager's office. It doesn’t see the insulin keys directly but counts how many C-peptide byproducts are being made. This count tells doctors exactly how much insulin your body is producing on its own, which is crucial for managing diabetes and understanding if your pancreas is working properly."
Clinical Chemistry – Diabetes & Metabolic Panel,Fasting Blood Glucose (FBG),تخيل نظام الطاقة في جسمك مثل بطارية هاتفك. يستخدم جسمك السكر كمصدر أساسي للطاقة، ويساعد هرمون الإنسولين على دخول هذا السكر إلى الخلايا، تمامًا كما يساعد سلك الشاحن الكهرباء على الدخول إلى هاتفك. يقيس فحص سكر الصائم كمية السكر في دمك بعد صيام لا يقل عن 8 ساعات. إنه مثل التحقق من نسبة شحن بطارية هاتفك بعد ليلة كاملة من الشحن. يساعد هذا الفحص الأطباء على معرفة مستوى السكر في دمك في وضعه الطبيعي، وهو خطوة رئيسية في الكشف المبكر عن السكري.,"Think of your body's energy system like a phone battery. Your body uses sugar as its main energy source, and insulin helps this sugar get into your cells, just like a charger cable helps electricity get into your phone. The Fasting Blood Glucose (FBG) test measures the amount of sugar in your blood after you haven't eaten for at least 8 hours. It’s like checking your phone's battery percentage after a full night of charging. This test helps doctors see your body's sugar level at its baseline, which is a key step in screening for diabetes."
Clinical Chemistry – Diabetes & Metabolic Panel,Fructosamine,"تخيل دمك طريقًا صحراويًا مزدحمًا، وجزيئات السكر فيه مثل السيارات. على مدى الأسبوعين أو الثلاثة الماضية، قد تكون بعض ""سيارات"" السكر هذه قد التصقت ببروتين في دمك، مثل التصاق الرمل بإطارات سيارة. يقيس فحص فركتوز اماين عدد ""سيارات"" السكر هذه التي التصقت بالبروتين. بما أن هذا الفحص يغطي فترة زمنية أقصر من غيره، فهو يشبه تفقد الغبار على سيارتك بعد رحلة قصيرة. إنه يعطي الأطباء لمحة سريعة عن متوسط مستوى سكر الدم لديك خلال الأسابيع القليلة الماضية.","Imagine your blood is a busy desert road with sugar molecules acting as cars. Over the past 2-3 weeks, some of these sugar cars might have gotten stuck to a protein called albumin, like sand sticking to a car's tires. The Fructosamine test measures how many of these sugar cars have been stuck to the protein. Since this test looks at a shorter time window than other sugar tests, it’s like checking the dust on your car after a short trip. It provides a snapshot of your average blood sugar control over the past few weeks."
Clinical Chemistry – Diabetes & Metabolic Panel,HbA1c (Glycated Hemoglobin),تخيل خلايا الدم الحمراء كشاحنات توصيل تحمل الأكسجين في جميع أنحاء جسمك لمدة ثلاثة أشهر تقريبًا. يمكن لجزيئات السكر في دمك أن تلتصق بهذه الشاحنات، تماماً مثلما يلتصق التمر بالرطب على النخلة. كلما زاد السكر، زاد التمر الملتصق. يقيس فحص السكر التراكمي نسبة هذه الشاحنات التي التصق بها السكر. يمنح هذا الفحص صورة واضحة لمعدل مستوى السكر في دمك خلال الشهرين أو الثلاثة الماضية، وهو فحص حيوي لتشخيص ومراقبة مرض السكري.,"Think of your red blood cells as delivery trucks carrying oxygen throughout your body for about three months. Sugar molecules in your blood can stick to these trucks, like dates sticking to a palm tree. The more sugar there is, the more dates will stick. The HbA1c test measures the percentage of these trucks that have sugar stuck to them. This provides a clear picture of your average blood sugar level over the past 2-3 months. It’s a crucial test for diagnosing and monitoring diabetes."
